DateTime,rain,temperature_outside,pressure_outside,gw_mb,gw_sr,gw_sg,gw_west,gw_knee,gw_south,wind_x,winx_y,snow_load,humidity,glob_radiaton,strain_ew_uncorrected,strain_ns_uncorrected,strain_ew_corrected,strain_ns_corrected,tides_ew,tides_ns
2016-06-24,0.0,23.524228009259257,965.8663773148148,520.9157541382104,236.1088773148148,581.3445486111111,906.0908449074075,1021.6606250000001,866.9249305555556,-0.7018478520898869,0.7406503380674775,4.7981125,70.83375,2.800799421296296,-1423.4861489064706,213.75762543660218,-1423.5157083333334,213.789,-2.7793210036329548,-6.053572364648999
2016-06-25,3.0,21.341113425925926,961.0068865740741,505.100451441139,226.7712037037037,569.8059490740741,906.1326967592593,1021.4276041666667,867.6441319444444,-0.42754883407742467,1.147210564608119,4.798656712962963,79.6916550925926,2.0257427083333335,-1420.032379163999,220.1230933527599,-1419.9025000000001,220.08383333333333,-3.208598221225009,-6.510368023787343
2016-06-26,0.0,16.03652314814815,965.8866435185184,492.5049195508739,226.00190972222222,541.9219328703704,905.8708449074073,1010.6767476851851,866.9761574074074,-0.09705388242960958,1.1925537660372456,4.795818171296296,72.53366898148148,1.8688822916666668,-1422.3053101043524,219.48362897579608,-1422.0264583333335,219.3705,-3.5773301621081415,-6.884047363811878
2016-06-27,0.0,15.795474537037036,967.1956944444444,473.09429332098625,223.87317129629628,497.9404976851852,905.4676967592593,1012.10375,866.4297916666667,0.04635808094538945,1.2704913228712997,4.791331365740741,71.95508101851853,1.812751273148148,-1423.14153289276,218.0155993192175,-1422.7627499999999,217.86108333333334,-3.8015020605571075,-7.100259463536438
2016-06-28,14.0,15.669494212962961,965.6365856481481,493.3320754716981,221.2724421296296,470.7685416666667,905.0785069444444,1009.822511574074,866.2569675925926,-0.5419521571557805,0.49968368345704517,4.794165509259259,94.53164351851852,1.4919359953703704,-1424.461413724469,219.52741942958713,-1424.0653750000001,219.35462499999997,-3.818096324347469,-7.113512699285772
2016-06-29,6.0,17.794130787037037,961.9134490740742,501.7556777404792,218.73594907407406,459.44542824074074,904.8613425925926,1012.5854861111111,866.471550925926,-0.5289715147297439,1.2762188623126234,4.794034606481482,78.65456018518519,2.249187847222222,-1424.1397026440975,222.6082616273401,-1423.8232500000001,222.45641666666666,-3.6077708951629472,-6.924874664964516
2016-06-30,3.0,16.994980324074074,963.1662731481481,453.60086815603654,214.92995370370372,419.5315162037037,904.2733912037037,1017.2183680555555,866.0729398148148,-0.840870665329685,0.53908607888167,4.795077430555556,83.59909722222221,1.446942824074074,-1421.83853292228,223.92731263448596,-1421.6845416666667,223.81741666666667,-3.21242027306749,-6.589160448995801
2016-07-01,0.0,18.952980324074073,964.3889236111111,429.42479453640465,209.9830324074074,390.7302662037037,903.6927777777777,1013.8484953703704,865.6894212962962,-1.2672024339434724,-0.13469998083732773,4.795019791666666,75.30105324074074,2.1060804398148147,-1420.7952929745927,225.2383281939155,-1420.8448333333333,225.18820833333334,-2.7352813506188833,-6.20385266769717
2016-07-02,21.0,13.976378472222223,963.6435879629629,435.5858432688969,203.83979166666668,361.30869212962966,903.105613425926,1013.9253935185186,865.0719328703703,-0.8249717104448185,0.4660494107766349,4.793458449074074,98.26633101851851,0.79113125,-1422.3369760109233,228.79191651653449,-1422.573625,228.83183333333332,-2.3126654626897927,-5.878151976653574
2016-07-03,24.0,10.92411505961338,968.8025176525061,523.6781571941196,198.301099664313,376.4414920708415,902.2468402777778,1009.434363425926,863.8651620370371,-0.8931353375933728,0.2693400426484087,4.778263657407407,93.66068989466373,1.4478622685185185,-1430.7575740618113,229.91940390299558,-1431.1135416666666,230.030875,-2.0621828669172904,-5.692978008857822
2016-07-04,1.0,14.142554398148148,969.2270023148147,663.7529459428175,196.36699074074073,439.1749652777778,901.6961921296297,1012.5691087962963,863.2962962962963,-0.7855745586074129,-0.043891782938982084,4.779867129629629,83.05857638888888,2.280137847222222,-1427.8863935419822,233.7265152612662,-1428.2657916666667,233.89783333333332,-2.034313482196909,-5.672397343347034
2016-07-05,13.0,17.75278240740741,963.5123842592593,511.1342284986688,195.25137731481482,422.80385416666667,901.9130902777778,1014.8372800925926,863.4249421296296,0.07316104134158694,1.5197319033830505,4.795593865740741,76.69712962962963,1.7230136574074073,-1410.147301944255,230.8781769863617,-1410.4592499999999,231.062125,-2.1983613260423356,-5.782230267382535
2016-07-06,0.0,13.648513716865377,966.943662460933,465.1947216112976,192.09440907512445,422.62868966315546,901.784363425926,1005.0056481481482,862.8512268518518,-0.7958064484876685,1.4224585501404576,4.791069212962962,73.24672994559556,2.110671527777778,-1410.3376443788293,231.85500834147422,-1410.5220416666668,232.007875,-2.469439222116914,-5.953670376876569
2016-07-07,0.0,14.835869212962963,969.2172453703704,434.11356638499825,187.97822916666667,401.55692129629625,901.5943518518519,1000.8186226851852,862.2400925925926,-0.5322066202456873,0.8029975926586163,4.788315162037037,71.30777777777777,2.5483046296296297,-1412.299434018926,231.42509946122343,-1412.3372499999998,231.53479166666668,-2.753344492382944,-6.114733630263284
2016-07-08,0.0,19.089822916666666,965.3549421296296,410.929170042829,183.0242361111111,370.1768055555556,901.6045370370371,1005.5257754629629,862.4617476851852,-0.24136154951532668,1.2581764878926995,4.795559027777777,64.44758101851852,2.213818634259259,-1410.6951282996495,233.8677728664204,-1410.6024583333335,233.899125,-2.98029378181322,-6.212591335782097
2016-07-09,0.0,18.261643518518518,967.0402777777778,391.0948720916773,177.14297453703705,340.1842476851852,901.367199074074,1003.3994675925926,862.0979976851852,-0.20025863235068236,1.2156223061989158,4.797132986111111,72.34931712962963,2.2565457175925925,-1410.583492563646,234.84566559123033,-1410.3971250000002,234.835375,-3.1155734236855994,-6.22095228562791
2016-07-10,0.0,20.66165277777778,963.203136574074,374.06504225026043,171.01942129629631,312.75129629629635,901.1502777777778,1003.3016782407408,862.3932060185185,0.10739525759986877,1.041835811414796,4.796698958333333,72.99642361111111,2.1311037037037037,-1407.8702256469435,237.32039684303498,-1407.6314166666668,237.2507916666667,-3.153073703051304,-6.136577515841939
2016-07-11,3.0,22.831340277777777,959.701400462963,352.81739784697305,165.06292824074075,286.518125,900.9928819444444,1007.231273148148,862.7356365740741,-0.16196911598675381,1.5449659181398137,4.798368055555556,65.4130787037037,2.0262746527777775,-1405.1862371599957,243.319715905558,-1404.9325833333332,243.22225,-3.103198080197417,-5.971913729986816
2016-07-12,0.0,17.898306712962963,961.6086226851852,330.4848940849635,158.84444444444443,255.30738425925924,900.4727662037037,1008.2022453703704,862.3339583333334,-0.3318000029211086,0.9074016970852045,4.797413773148148,75.15773148148149,0.8912239583333333,-1405.1087597005514,245.33000365001564,-1404.8701250000001,245.19616666666664,-2.9829828400401754,-5.748809992457518
2016-07-13,53.0,14.308807732376431,961.1595555041093,372.5856233360343,152.2305359416599,245.71087510128487,900.014525462963,1001.9308101851851,861.766087962963,0.02916908202004083,0.7658592392397366,4.792458101851852,96.92769417756685,1.297625,-1409.7286159370842,249.3533855788322,-1409.5294583333334,249.23283333333333,-2.8110163595883333,-5.495153539628183
2016-07-14,25.0,11.51999537037037,964.1681597222223,975.9265339198889,1084.0576851851852,1375.0758101851852,900.0249652777778,1005.9121412037038,861.1376851851851,-0.3397739285156907,0.8963643058993288,4.782063541666667,98.99807870370371,0.544809837962963,-1405.2638747656492,244.98677069827488,-1405.1262916666667,244.87125,-2.6066551327647614,-5.244056943326169
2016-07-15,1.0,12.362864583333332,971.5492939814815,1071.4936219469846,1214.9277893518517,1498.755810185185,901.6161111111111,1005.2770254629629,860.5875231481482,0.11105860386982731,1.3097419969794668,4.780840972222222,88.58128472222222,1.1455288194444446,-1423.9056566713853,194.0291017179914,-1423.8497916666665,193.92291666666665,-2.392016193209839,-5.03408594504632
2016-07-16,1.0,15.889621527777777,972.2755902777777,979.2283713392754,1093.5391203703705,1363.3119560185185,902.9846875000001,1003.3305902777779,861.1771412037037,-0.5460045634579044,0.8907278426365908,4.785436458333334,77.40900462962964,1.8950799768518518,-1422.6158633340494,175.6852550858722,-1422.6579583333332,175.58541666666667,-2.1948803222820223,-4.9083796478094035
2016-07-17,14.0,17.15984837962963,969.4348611111111,944.4463942585948,982.9921180555556,1261.6726504629628,904.2623842592593,1009.7636111111111,862.5087384259259,-0.2932627691019654,0.7656949511173081,4.797603472222223,98.8704861111111,0.9500046296296297,-1417.2121148091333,170.41613463422425,-1417.3584583333334,170.377375,-2.0502903948043762,-4.910385229979696
